

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,5:25:43 PM,3322.02,3462.26,4863.91,5344.97,0.01,0.02,0.03,0.02,
5/31/2018,5:25:44 PM,3281.95,3500.25,4849.47,5336.21,0.01,0.02,0.02,0.02,
5/31/2018,5:25:46 PM,3351.26,3506.44,4866.60,5329.91,0.01,0.03,0.02,0.02,
5/31/2018,5:25:47 PM,3307.50,3432.75,4857.10,5341.93,0.01,0.03,0.05,0.02,
5/31/2018,5:25:48 PM,3302.30,3468.76,4860.75,5340.52,0.01,0.02,0.03,0.02,
5/31/2018,5:25:49 PM,3269.41,3562.14,4866.85,5304.53,0.01,0.02,0.02,0.02,
5/31/2018,5:25:50 PM,3351.59,3494.49,4864.71,5326.09,0.01,0.03,0.02,0.02,
5/31/2018,5:25:51 PM,3305.75,3418.24,4857.38,5345.53,0.01,0.03,0.04,0.02,
5/31/2018,5:25:52 PM,3303.07,3418.48,4849.30,5336.96,0.01,0.02,0.05,0.02,
5/31/2018,5:25:53 PM,3220.06,3551.30,4859.47,5320.22,0.01,0.02,0.01,0.02,
5/31/2018,5:25:54 PM,3209.18,3536.13,4870.13,5339.99,0.01,0.03,0.02,0.02,
5/31/2018,5:25:55 PM,3267.63,3480.97,4860.37,5358.05,0.01,0.02,0.02,0.02,
5/31/2018,5:25:56 PM,3302.05,3485.93,4872.40,5316.92,0.01,0.02,0.02,0.02,
5/31/2018,5:25:57 PM,3345.32,3541.53,4883.10,5307.79,0.01,0.03,0.01,0.02,
5/31/2018,5:25:58 PM,3340.92,3547.18,4882.49,5319.00,0.01,0.02,0.02,0.02,
5/31/2018,5:26:00 PM,3295.17,3616.48,4879.48,5329.46,0.01,0.02,0.01,0.03,
5/31/2018,5:26:01 PM,3311.03,3518.59,4888.75,5336.86,0.01,0.02,0.02,0.02,
5/31/2018,5:26:02 PM,3202.86,3513.51,4874.31,5345.80,0.01,0.02,0.01,0.03,
5/31/2018,5:26:03 PM,3305.39,3434.87,4878.44,5345.92,0.01,0.02,0.03,0.02,
5/31/2018,5:26:04 PM,3320.10,3535.24,4873.03,5341.66,0.01,0.02,0.01,0.03,
5/31/2018,5:26:05 PM,3340.90,3542.03,4855.85,5349.96,0.01,0.02,0.02,0.02,
