

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,4:10:47 PM,3272.94,3499.39,0.07,0.02,0.38,0.03,
5/31/2018,4:10:48 PM,3644.47,3466.29,0.03,0.02,0.13,0.02,
5/31/2018,4:10:49 PM,3329.36,3589.81,0.05,0.02,0.27,0.03,
5/31/2018,4:10:50 PM,3431.01,4045.39,0.08,0.02,0.05,0.05,
5/31/2018,4:10:51 PM,3829.93,3541.89,0.03,0.03,0.06,0.03,
5/31/2018,4:10:52 PM,3243.71,4005.94,0.07,0.02,0.04,0.05,
5/31/2018,4:10:53 PM,3502.63,3685.55,0.06,0.03,0.10,0.04,
5/31/2018,4:10:54 PM,3846.33,3759.64,0.03,0.03,0.10,0.04,
5/31/2018,4:10:55 PM,3562.45,3287.40,0.06,0.02,0.10,0.02,
5/31/2018,4:10:56 PM,3335.88,3604.98,0.10,0.02,0.07,0.03,
5/31/2018,4:10:57 PM,3333.05,3876.49,0.07,0.02,0.10,0.04,
5/31/2018,4:10:58 PM,3800.70,3787.97,0.03,0.03,0.11,0.04,
5/31/2018,4:10:59 PM,3529.65,3819.87,0.05,0.02,0.11,0.03,
5/31/2018,4:11:00 PM,3492.13,3873.62,0.05,0.03,0.04,0.04,
5/31/2018,4:11:01 PM,3281.46,3819.16,0.07,0.02,0.06,0.04,
5/31/2018,4:11:02 PM,3455.68,4084.27,0.04,0.02,0.03,0.05,
5/31/2018,4:11:03 PM,3420.52,4217.90,0.04,0.02,0.03,0.06,
5/31/2018,4:11:04 PM,3712.70,3974.69,0.04,0.03,0.03,0.05,
5/31/2018,4:11:05 PM,3350.40,3904.11,0.06,0.02,0.04,0.05,
5/31/2018,4:11:06 PM,3253.68,3769.48,0.08,0.02,0.13,0.04,
5/31/2018,4:11:07 PM,3566.10,3990.00,0.03,0.03,0.04,0.05,
5/31/2018,4:11:08 PM,3855.25,3873.36,0.02,0.03,0.05,0.04,
5/31/2018,4:11:09 PM,3093.58,3832.15,0.05,0.02,0.07,0.04,
5/31/2018,4:11:10 PM,3278.07,4284.40,0.11,0.02,0.02,0.06,
5/31/2018,4:11:11 PM,3620.33,3802.74,0.05,0.02,0.06,0.04,
5/31/2018,4:11:12 PM,3302.53,3431.46,0.07,0.02,0.13,0.02,
5/31/2018,4:11:13 PM,3331.34,3885.93,0.09,0.02,0.06,0.04,
5/31/2018,4:11:14 PM,3427.50,3917.67,0.04,0.03,0.06,0.04,
5/31/2018,4:11:15 PM,3809.54,4007.41,0.02,0.03,0.03,0.05,
5/31/2018,4:11:16 PM,3333.69,3617.96,0.09,0.02,0.13,0.03,
5/31/2018,4:11:17 PM,3702.13,3934.38,0.03,0.03,0.07,0.04,
5/31/2018,4:11:18 PM,3468.64,3676.08,0.05,0.03,0.07,0.03,
5/31/2018,4:11:19 PM,3688.31,3702.32,0.03,0.03,0.07,0.04,
5/31/2018,4:11:20 PM,3754.79,3525.38,0.02,0.03,0.16,0.03,
5/31/2018,4:11:21 PM,3949.71,3915.49,0.02,0.02,0.05,0.05,
5/31/2018,4:11:22 PM,3561.07,3455.90,0.04,0.03,0.24,0.02,
5/31/2018,4:11:23 PM,3537.87,3949.33,0.04,0.02,0.04,0.04,
5/31/2018,4:11:24 PM,3177.10,3869.74,0.09,0.02,0.05,0.05,
5/31/2018,4:11:25 PM,3471.46,3921.39,0.05,0.03,0.06,0.04,
5/31/2018,4:11:26 PM,3570.75,3527.73,0.04,0.03,0.26,0.02,
5/31/2018,4:11:27 PM,3481.82,3510.71,0.05,0.02,0.11,0.03,
5/31/2018,4:11:28 PM,3690.88,4142.69,0.04,0.02,0.03,0.05,
5/31/2018,4:11:29 PM,3620.32,3690.26,0.04,0.03,0.09,0.04,
5/31/2018,4:11:30 PM,4246.98,3518.67,0.02,0.03,0.08,0.03,
5/31/2018,4:11:31 PM,3643.07,3942.05,0.03,0.03,0.04,0.04,
5/31/2018,4:11:32 PM,3574.18,3954.71,0.04,0.03,0.05,0.04,
5/31/2018,4:11:34 PM,3649.38,3519.24,0.07,0.02,0.08,0.03,
5/31/2018,4:11:35 PM,3514.95,3792.18,0.05,0.03,0.06,0.04,
5/31/2018,4:11:36 PM,3192.57,4136.90,0.04,0.02,0.04,0.05,
5/31/2018,4:11:37 PM,3604.60,3788.60,0.05,0.02,0.12,0.04,
5/31/2018,4:11:38 PM,3971.96,3784.21,0.02,0.03,0.05,0.04,
5/31/2018,4:11:39 PM,3217.09,3403.34,0.12,0.02,0.10,0.03,
5/31/2018,4:11:40 PM,3410.10,3967.01,0.07,0.02,0.05,0.05,
5/31/2018,4:11:41 PM,3423.33,3752.70,0.07,0.02,0.05,0.04,
5/31/2018,4:11:42 PM,3659.57,3904.12,0.03,0.03,0.07,0.05,
5/31/2018,4:11:43 PM,3492.01,3587.93,0.04,0.02,0.19,0.03,
5/31/2018,4:11:44 PM,3134.37,4065.33,0.09,0.02,0.03,0.06,
5/31/2018,4:11:45 PM,3303.66,3427.00,0.07,0.02,0.11,0.03,
5/31/2018,4:11:46 PM,3304.91,3950.26,0.06,0.02,0.04,0.04,
5/31/2018,4:11:47 PM,3192.52,3631.73,0.04,0.03,0.08,0.03,
5/31/2018,4:11:48 PM,3540.32,3745.13,0.04,0.03,0.12,0.04,
5/31/2018,4:11:49 PM,3444.09,3886.52,0.07,0.03,0.05,0.04,
5/31/2018,4:11:50 PM,3384.79,3792.18,0.10,0.02,0.06,0.04,
5/31/2018,4:11:51 PM,3698.97,3748.20,0.03,0.03,0.09,0.03,
5/31/2018,4:11:52 PM,3290.15,3756.55,0.11,0.02,0.04,0.04,
5/31/2018,4:11:53 PM,3725.17,3795.12,0.04,0.02,0.08,0.04,
5/31/2018,4:11:54 PM,3348.54,3646.62,0.09,0.02,0.23,0.03,
5/31/2018,4:11:55 PM,3280.27,3562.47,0.12,0.02,0.05,0.03,
5/31/2018,4:11:56 PM,3452.76,3785.04,0.08,0.02,0.07,0.04,
5/31/2018,4:11:57 PM,3554.22,3463.16,0.05,0.03,0.09,0.03,
5/31/2018,4:11:58 PM,3353.12,4208.75,0.08,0.03,0.03,0.05,
5/31/2018,4:11:59 PM,3247.72,3791.47,0.08,0.02,0.06,0.04,
5/31/2018,4:12:00 PM,3865.64,3952.89,0.03,0.04,0.06,0.05,
5/31/2018,4:12:01 PM,3657.37,4115.04,0.04,0.03,0.05,0.05,
